"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.940486750E0,1.581570320E-2,7.722689956E-2,-3.606370185E-3
2.950526750E0,4.536824301E-3,7.035271078E-2,-4.037122242E-3
2.960567750E0,4.418579862E-3,6.201195717E-2,-6.441956386E-3
2.970637750E0,9.606480598E-4,5.483780801E-2,-1.050721109E-2
2.980678750E0,-6.947722286E-4,4.651037604E-2,-1.384841278E-2
2.990718750E0,-4.991490394E-3,4.292577505E-2,-8.038730361E-3
3.000758750E0,-1.248056628E-2,4.990804940E-2,7.353807800E-3
3.010798750E0,-2.002094500E-2,5.373901874E-2,-1.420515589E-2
3.020839750E0,-2.421568893E-2,4.169167951E-2,-2.515793964E-2
3.030910750E0,-2.834410407E-2,4.234617576E-2,-2.700758539E-2
3.040950750E0,-2.741812356E-2,3.834317625E-2,-3.467082977E-2
3.050990750E0,-2.660483681E-2,2.349028923E-2,-4.498757049E-2
3.061030750E0,-3.279642016E-2,9.586159140E-4,-5.563781783E-2
3.071071750E0,-3.972924501E-2,-1.758456603E-2,-6.303042173E-2
3.081111750E0,-4.531975091E-2,-1.928126626E-2,-6.519850343E-2
3.091151750E0,-4.284147173E-2,-1.451032143E-2,-6.570018083E-2
3.101222750E0,-3.651965782E-2,2.496093512E-3,-6.417845190E-2
3.111262750E0,-3.011014499E-2,3.776818886E-2,-5.940133333E-2
3.121303750E0,-2.879188024E-2,5.979093537E-2,-5.869479850E-2
3.131343750E0,-3.251809627E-2,6.793260574E-2,-5.656273291E-2
3.141383750E0,-4.405836761E-2,5.494010448E-2,-5.771188438E-2
3.151423750E0,-5.594768375E-2,1.811606623E-2,-5.928249657E-2
3.161464750E0,-6.271743774E-2,-1.508503128E-2,-5.888302252E-2
3.171535750E0,-6.641171128E-2,-3.716719896E-2,-6.263033301E-2
3.181575750E0,-6.688468903E-2,-3.910677880E-2,-6.650096923E-2
3.191615750E0,-6.244736910E-2,-3.455242515E-2,-5.510708690E-2
3.201655750E0,-5.840469152E-2,-2.626599744E-2,-8.133469522E-2
3.211696750E0,-5.637694523E-2,-2.966961637E-2,-8.504003286E-2
3.221736750E0,-5.417264625E-2,-2.533612214E-2,-7.588914782E-2
3.231807750E0,-5.435435474E-2,-2.284539491E-2,-6.394641101E-2
3.241847750E0,-5.411174148E-2,-3.086577170E-2,-5.536436662E-2
3.251887750E0,-5.957014859E-2,-3.140809387E-2,-4.877126217E-2
3.261928750E0,-6.127057225E-2,-2.576299198E-2,-4.089762643E-2
3.271968750E0,-6.175511330E-2,-1.297334302E-2,-3.477425873E-2
